id,review_text
1,"Пришел запечатанный пакет, внутри коробка картонная, а айфона нет. И нет г по гарантийника)"
2,"Пришел целый , со всеми пломбами , пробили по серийному номеру , не активирован , оригинал , пользуюсь 2-ой месяц вроде все хорошо."
3,"Не активирован, пломбы все заводские! Спасибо Вам большое"
4,"Крайне подозрительный телефон и продавец. В комплекте не было ни одной документации, просто кабель и телефон. Я просто задала вопрос, а где еще доки или их вообще не должно быть (я просто уточнить хотела) продавец отменил вопрос…."
5,"пломбы не оригинал"
6,"Плюсы не увидел, пломбы даже не срывал"
7,"Пришел быстрее чем указано в доставке, оригинал с этим все отлично пробился на сайте. "
8,"Конечно не смотря на много положительных отзывов брать было немного стремно))))) Оригинал , серийный проверил при получении на пвз ,не активирован, все ок, забрал."
9,"Купил по акции, очень выгодно. Качеством доволен полностью."
10,"Оригинал, все целое."
11,"Уроды на магазине, возвраты не совершают, хотя телефон явно паль."
12,"Оригинал, приятная цена, наверное была самая лучшая на 11.11. продавец отвечает на все вопросы. фотки выходят отличные"
